jinx,a person or thing that brings bad luck,,
jeopardy,great danger or risk,,
jargon,words used by a particular group and hard to understand,,
jest,joke, verb-speak in a joking way,
just,fair; balanced,,
join,to come together with or to connect,,
junk,old or discarded articles that are considered useless,,
peak,highest point or ability,,
parade,a celebratory movement,,
paragon,model of perfection,,
pioneer,the first to accomplish,,
prodigy,a very talented young person,,
pacifist,a peace-loving person,,
prolific,productive and industrious,,
pragmatic,practical logical,,
personable,makes friends easily,,
persuassive,can make others see their perspective,,
safe,free from risk, danger,
savant,a very knowledgeable or skilled person,,
scenic,having beautiful views,,
serene,calm; untroubled,,
shine,to stand out due to excellence,,
sumptuous,very luxurious and enjoyable,,
sympathetic,understanding what other person is going through,,
steadfast,fixed, firm and staying strong,
solidarity,a united purpose or feeling,,
shimmer,to shine softly,,
rollicking,carefree and high-spirited,,
replenish,to make full or complete again,,
rejuvenate,to make new again,,
recuperate,to improve in health,,
reassure,to give someone confidence,,
rational,sth that makes logical sense,,
racy,having characteristic quality or taste,,
rapturous,filled with great joy,,
regnant,prevalent; widespread; ruling,,
rounded,balanced; complete,,
gem,something precious,,
gush,to emphatically compliment someone,,
genial,gets along well with people,,
gourmet,expert food crit,,
guarantee,an unbreakable promise,,
gumption,the quality of taking bold initiative,,
gaffe,an embarassing blunder,,
gainsay,deny or contradict,,
genre,a style of art, literature,
grueling,very tiring, exhausting,
lark,a light-hearted adventure,,
lead,to guide or show the way,,
lush,something abundant,,
lasting,something with endurance,,
lenient,not harsh or strict,,
lustrous,the quality of shining,,
lucidity,thinking that is clear,,
lucrative,leading to profit,,
laudable,deserving praise,,
lax,not strict, severe or careful,
laud,to praise someone or something,,
earnest,very serious, sincere intent,
emanate,issue from a source, to come forth,
epitome,a perfect example,,
equivocal,ambiguous, uncertain, doubtful
erudite,very learned, scholarly,
extrinsic,coming from outside,,
eschew,deliberately avoid doing,,
exasperate,greatly irritate,,
evince,to show or indicate,,
erratic,uneven, irregular,
naive,lacking experience or judgement,,
nimble,quick and agile,,
nostalgia,longing for the happy times of the past,,
nuance,a slight difference in meaning or expression,,
nexus,a connection or series of connection,,
niggard,not generous; a stingy or a miser,,
negligible,so small as to be not worth considering,,
nettle,annoy,,
nascent,just coming into existence; emerging,,
nationalism,"a doctrine that countries should act independently	",,
fabricate,invent untrue facts; to make up a story,,
facitious,not genuine,,
fatuous,silly pointless, stupid,
feasible,possible; able to be done,,
fervent,passionate,,
figment,a thing that exists only in the imagination,,
flair,natural ablity or talent, stylishness,
fracas,a noisy disturbance or quarrel,,
fruition,the fulfillment of a project or plan,,
furtive,secretively trying to avoid being noticed,,
voracious,eagerly consuming something,,
voluble,speaking fluently and atlength,,
vie,compete eagerly with others,,
vicinty,the surrounding area,,
viable,capable of working successfully,,
versed,experienced or skilled in,,
versatile,able to do many different things,,
vent,express strong emotion freely,,
veneer,an outward show of a quality, superficial apperance,
vantage,position giving a good view,,
